time	V(vo2)
3.440363383197878e-005	4.479931e+001
3.440466041068624e-005	4.479931e+001
3.440573602067967e-005	4.479930e+001
3.440652248748802e-005	4.479930e+001
3.440739399553430e-005	4.479930e+001
3.440844270393567e-005	4.479930e+001
3.440966976142254e-005	4.479930e+001
3.441060976786328e-005	4.479929e+001
3.441176961159476e-005	4.479929e+001
3.441370207675834e-005	4.479929e+001
3.441468155839650e-005	4.479929e+001
3.441575355497134e-005	4.479928e+001
3.441658691629573e-005	4.479928e+001
3.441745027351131e-005	4.479928e+001
3.441854094021757e-005	4.479927e+001
3.442076474397329e-005	4.479927e+001
3.442185822189608e-005	4.479927e+001
3.442379943989493e-005	4.479926e+001
3.442475489999833e-005	4.479926e+001
3.442583866890281e-005	4.479926e+001
3.442672461296745e-005	4.479926e+001
3.442759258970307e-005	4.479925e+001
3.442873162442725e-005	4.479925e+001
3.443083662631186e-005	4.479924e+001
3.443188498563135e-005	4.479924e+001
3.443300986230233e-005	4.479924e+001
3.443385450526901e-005	4.479924e+001
3.443479127791457e-005	4.479924e+001
3.443590071704888e-005	4.479923e+001
3.443702940413018e-005	4.479923e+001
3.443798817800992e-005	4.479923e+001
3.443917939478791e-005	4.479922e+001
3.444046309571125e-005	4.479922e+001
3.444142874021311e-005	4.479922e+001
3.444269510107303e-005	4.479922e+001
3.444392323813036e-005	4.479921e+001
3.444486064500818e-005	4.479921e+001
3.444614776619906e-005	4.479921e+001
3.444736556599062e-005	4.479921e+001
3.444829392052623e-005	4.479920e+001
3.444960475992506e-005	4.479920e+001
3.445171820366105e-005	4.479919e+001
3.445289781201996e-005	4.479919e+001
3.445499156323750e-005	4.479919e+001
3.445608754105295e-005	4.479919e+001
3.445815635330987e-005	4.479918e+001
3.445917255506803e-005	4.479918e+001
3.446033658088127e-005	4.479918e+001
3.446131185164819e-005	4.479917e+001
3.446228129028520e-005	4.479917e+001
3.446348572153091e-005	4.479917e+001
3.446500403814223e-005	4.479916e+001
3.446617468796931e-005	4.479916e+001
3.446745188020323e-005	4.479916e+001
3.446864379234860e-005	4.479916e+001
3.446974119221749e-005	4.479915e+001
3.447097580126790e-005	4.479915e+001
3.447199573414564e-005	4.479915e+001
3.447303446628414e-005	4.479914e+001
3.447425260971401e-005	4.479914e+001
3.447536805191789e-005	4.479914e+001
3.447641805015556e-005	4.479914e+001
3.447766487102780e-005	4.479913e+001
3.447891271193132e-005	4.479913e+001
3.448001616150609e-005	4.479913e+001
3.448128836578551e-005	4.479913e+001
3.448247221271919e-005	4.479912e+001
3.448357973062644e-005	4.479912e+001
3.448484554682829e-005	4.479912e+001
3.448593798530478e-005	4.479911e+001
3.448702703650816e-005	4.479911e+001
3.448828624768446e-005	4.479911e+001
3.448937392397725e-005	4.479911e+001
3.449046018197399e-005	4.479910e+001
3.449172787261742e-005	4.479910e+001
3.449285523022053e-005	4.479910e+001
3.449395906947317e-005	4.479910e+001
3.449524107866295e-005	4.479909e+001
3.449636923555724e-005	4.479909e+001
3.449748757374319e-005	4.479909e+001
3.449877646960128e-005	4.479908e+001
3.449986807563255e-005	4.479908e+001
3.450098886630115e-005	4.479908e+001
3.450227933896044e-005	4.479908e+001
3.450334413458017e-005	4.479907e+001
3.450446499827370e-005	4.479907e+001
3.450575922978039e-005	4.479906e+001
3.450682096082028e-005	4.479906e+001
3.450794776027610e-005	4.479906e+001
3.450924965038571e-005	4.479906e+001
3.451031277506775e-005	4.479906e+001
3.451145005122641e-005	4.479905e+001
3.451276020319596e-005	4.479905e+001
3.451381232423903e-005	4.479905e+001
3.451495906782107e-005	4.479905e+001
3.451732843039873e-005	4.479904e+001
3.451849305852531e-005	4.479903e+001
3.452087316476588e-005	4.479903e+001
3.452206516299863e-005	4.479903e+001
3.452445569842103e-005	4.479902e+001
3.452568853193339e-005	4.479902e+001
3.452809437032647e-005	4.479901e+001
3.452939340631636e-005	4.479901e+001
3.453183618068803e-005	4.479900e+001
3.453326550960714e-005	4.479900e+001
3.453472052983297e-005	4.479900e+001
3.453591668401215e-005	4.479899e+001
3.453877900353938e-005	4.479899e+001
3.454012856752772e-005	4.479898e+001
3.454267143319229e-005	4.479898e+001
3.454431516932213e-005	4.479897e+001
3.454581774907373e-005	4.479897e+001
3.454712106878630e-005	4.479897e+001
3.454974919850015e-005	4.479896e+001
3.455114508322740e-005	4.479896e+001
3.455260825562315e-005	4.479895e+001
3.455377827678297e-005	4.479895e+001
3.455694261533804e-005	4.479894e+001
3.455840795963880e-005	4.479894e+001
3.455994257537190e-005	4.479893e+001
3.456111276029655e-005	4.479893e+001
3.456434705970471e-005	4.479893e+001
3.456585449378505e-005	4.479892e+001
3.456742013243155e-005	4.479892e+001
3.456862830164900e-005	4.479892e+001
3.457171568158057e-005	4.479891e+001
3.457322710561164e-005	4.479890e+001
3.457479673709199e-005	4.479890e+001
3.457605406000444e-005	4.479890e+001
3.457907033176111e-005	4.479889e+001
3.458060863104420e-005	4.479889e+001
3.458219898338708e-005	4.479888e+001
3.458351957973810e-005	4.479888e+001
3.458646258407833e-005	4.479887e+001
3.458804963970760e-005	4.479887e+001
3.458967496926604e-005	4.479887e+001
3.459108475740991e-005	4.479886e+001
3.459397554639657e-005	4.479885e+001
3.459754358308559e-005	4.479885e+001
3.459916419225675e-005	4.479884e+001
3.460086552382891e-005	4.479884e+001
3.460223291988640e-005	4.479884e+001
3.460525553325780e-005	4.479883e+001
3.460892374193558e-005	4.479882e+001
3.461062335955584e-005	4.479882e+001
3.461238316671694e-005	4.479881e+001
3.461387486197731e-005	4.479881e+001
3.461562768254309e-005	4.479880e+001
3.461696320417734e-005	4.479880e+001
3.462041586981685e-005	4.479879e+001
3.462414287936158e-005	4.479878e+001
3.462587874122902e-005	4.479878e+001
3.462770077042321e-005	4.479877e+001
3.462927877578501e-005	4.479877e+001
3.463108351219740e-005	4.479877e+001
3.463249772000729e-005	4.479876e+001
3.463582509664540e-005	4.479876e+001
3.463977201954502e-005	4.479874e+001
3.464374720909755e-005	4.479874e+001
3.464796480803084e-005	4.479873e+001
3.465214907396805e-005	4.479872e+001
3.465650892890346e-005	4.479871e+001
3.466042807273931e-005	4.479869e+001
3.466442227148189e-005	4.479869e+001
3.466839051723125e-005	4.479868e+001
3.467238743221079e-005	4.479867e+001
3.467642783022348e-005	4.479866e+001
3.468049268222015e-005	4.479865e+001
3.468456049797453e-005	4.479864e+001
3.468861922700101e-005	4.479863e+001
3.469266833932075e-005	4.479862e+001
3.469671371837332e-005	4.479861e+001
3.470076154504787e-005	4.479860e+001
3.470481516731211e-005	4.479859e+001
3.470887505352058e-005	4.479858e+001
3.471294019451177e-005	4.479857e+001
3.471700948858014e-005	4.479856e+001
3.472108245840960e-005	4.479855e+001
3.472332012311591e-005	4.479855e+001
3.472515933030523e-005	4.479854e+001
3.472740689547046e-005	4.479853e+001
3.472924080426612e-005	4.479853e+001
3.473149859361396e-005	4.479853e+001
3.473332781698743e-005	4.479852e+001
3.473559622510156e-005	4.479852e+001
3.473742144162809e-005	4.479851e+001
3.473970089752296e-005	4.479851e+001
3.474152294113617e-005	4.479850e+001
3.474381389475048e-005	4.479850e+001
3.474563395441596e-005	4.479849e+001
3.474793686718616e-005	4.479848e+001
3.474976610107206e-005	4.479848e+001
3.475207661536237e-005	4.479848e+001
3.475393455813769e-005	4.479847e+001
3.475624436443184e-005	4.479847e+001
3.475813989349194e-005	4.479846e+001
3.476044770017381e-005	4.479846e+001
3.476239473411066e-005	4.479845e+001
3.476470299009632e-005	4.479845e+001
3.476904570721973e-005	4.479844e+001
3.477356081555902e-005	4.479842e+001
3.477847682566149e-005	4.479841e+001
3.478375281916815e-005	4.479840e+001
3.478641047071837e-005	4.479839e+001
3.479120398509200e-005	4.479838e+001
3.479633594512602e-005	4.479837e+001
3.479929808813953e-005	4.479836e+001
3.480455094358181e-005	4.479835e+001
3.480964608991791e-005	4.479834e+001
3.481578135691721e-005	4.479832e+001
3.481853834880200e-005	4.479832e+001
3.482389815347153e-005	4.479831e+001
3.482998947274343e-005	4.479829e+001
3.483295264448266e-005	4.479828e+001
3.483873182626857e-005	4.479827e+001
3.484186761628511e-005	4.479826e+001
3.484745012551083e-005	4.479825e+001
3.485393503257009e-005	4.479823e+001
3.485694680799983e-005	4.479823e+001
3.486294909615592e-005	4.479821e+001
3.486618638673042e-005	4.479820e+001
3.487202468624093e-005	4.479819e+001
3.487949432925616e-005	4.479817e+001
3.488292179118155e-005	4.479816e+001
3.489071673974664e-005	4.479815e+001
3.510836685823126e-005	4.479762e+001
3.532601697671588e-005	4.479710e+001
3.554366709520049e-005	4.479658e+001
3.576131721368511e-005	4.479606e+001
3.597896733216973e-005	4.479554e+001
3.619661745065434e-005	4.479502e+001
3.641426756913896e-005	4.479450e+001
3.790430479318505e-005	4.479093e+001
3.939434201723114e-005	4.478736e+001
4.088437924127723e-005	4.478380e+001
4.237441646532333e-005	4.478023e+001
4.386445368936942e-005	4.477666e+001
4.535449091341551e-005	4.477310e+001
4.684452813746159e-005	4.476954e+001
4.710099999999731e-005	4.476892e+001
4.721317123456206e-005	4.476865e+001
4.746357561528219e-005	4.476805e+001
4.746607833976620e-005	4.476805e+001
4.746858106425020e-005	4.476804e+001
4.747108378873420e-005	4.476804e+001
4.747358651321821e-005	4.476803e+001
4.747608923770221e-005	4.476802e+001
4.747859196218622e-005	4.476802e+001
4.748109468667022e-005	4.476801e+001
4.748604364494119e-005	4.476800e+001
4.749234878261011e-005	4.476798e+001
4.749682722171578e-005	4.476797e+001
4.749899999999946e-005	4.476797e+001
4.749999999999893e-005	4.476796e+001
4.750000220007933e-005	4.476796e+001
4.750000660023665e-005	4.476796e+001
4.750001540055476e-005	4.476796e+001
4.750003300119099e-005	4.476796e+001
4.750006820245997e-005	4.476796e+001
4.750013860500141e-005	4.476796e+001
4.750027941008428e-005	4.476796e+001
4.750056102025002e-005	4.476796e+001
4.750068373996289e-005	4.476796e+001
4.750092917938861e-005	4.476796e+001
4.750099999999841e-005	4.476796e+001
4.750103844677889e-005	4.476796e+001
4.750111534033638e-005	4.476796e+001
4.750126912745484e-005	4.476796e+001
4.750157670169175e-005	4.476796e+001
4.750204585022427e-005	4.476796e+001
4.750256117776533e-005	4.476796e+001
4.750321622278009e-005	4.476796e+001
4.750402063895959e-005	4.476796e+001
4.750476845777688e-005	4.476795e+001
4.750552801824348e-005	4.476795e+001
4.750639357984851e-005	4.476795e+001
4.750739873207385e-005	4.476795e+001
4.750795140739603e-005	4.476795e+001
4.750856266981171e-005	4.476794e+001
4.750906145142148e-005	4.476794e+001
4.750946234301917e-005	4.476794e+001
4.750981323451212e-005	4.476794e+001
4.751019367097223e-005	4.476794e+001
4.751056255158231e-005	4.476794e+001
4.751102190368034e-005	4.476794e+001
4.751173387018345e-005	4.476794e+001
4.751251265780118e-005	4.476794e+001
4.751334347089659e-005	4.476793e+001
4.751418060909216e-005	4.476793e+001
4.751520855826932e-005	4.476793e+001
4.751590466602410e-005	4.476793e+001
4.751660532075971e-005	4.476793e+001
4.751757897098960e-005	4.476792e+001
4.751849725251334e-005	4.476792e+001
4.751935169391638e-005	4.476792e+001
4.752019756533096e-005	4.476792e+001
4.752126088140851e-005	4.476791e+001
4.752243027308228e-005	4.476791e+001
4.752311562705378e-005	4.476791e+001
4.752376274406653e-005	4.476791e+001
4.752428874987141e-005	4.476791e+001
4.752461992077808e-005	4.476791e+001
4.752490582480770e-005	4.476791e+001
4.752518772445369e-005	4.476791e+001
4.752553961961947e-005	4.476790e+001
4.752587501993116e-005	4.476790e+001
4.752637631529749e-005	4.476790e+001
4.752687666880265e-005	4.476790e+001
4.752739743279708e-005	4.476790e+001
4.752802410134399e-005	4.476789e+001
4.752860374183585e-005	4.476789e+001
4.752931605683450e-005	4.476789e+001
4.753014979290773e-005	4.476789e+001
4.753062998940488e-005	4.476789e+001
