time	V(n003)
3.261590352740193e-005	3.183801e-002
3.261621393035874e-005	1.149112e-002
3.261650045284503e-005	-3.804694e-003
3.261676399103283e-005	-1.366731e-002
3.261704056784637e-005	-1.889854e-002
3.261745202789643e-005	-1.947513e-002
3.261774947679527e-005	-1.551120e-002
3.261800225299455e-005	-9.248942e-003
3.261825328713941e-005	-1.268268e-003
3.261852564499790e-005	8.644208e-003
3.261881115381241e-005	1.976970e-002
3.261882069962446e-005	2.015425e-002
3.261887797448640e-005	2.250390e-002
3.261895434097245e-005	2.566179e-002
3.261910707394455e-005	3.203114e-002
3.261941253988529e-005	4.480463e-002
3.262002347176676e-005	6.984039e-002
3.262063919880903e-005	9.301326e-002
3.262121169494980e-005	1.099856e-001
3.262171196649275e-005	1.174105e-001
3.262221506004567e-005	1.136545e-001
3.262277239562267e-005	9.524076e-002
3.262329076396051e-005	6.740746e-002
3.262351599112034e-005	5.266518e-002
3.262374991990988e-005	3.670127e-002
3.262399036516386e-005	2.129250e-002
3.262424148388690e-005	7.288501e-003
3.262449950739571e-005	-4.091310e-003
3.262475690663999e-005	-1.171470e-002
3.262506972454699e-005	-1.612783e-002
3.262537185140177e-005	-1.604397e-002
3.262562382264425e-005	-1.287990e-002
3.262586790523867e-005	-7.550017e-003
3.262612047677874e-005	-3.573100e-004
3.262638208753610e-005	8.356354e-003
3.262666543186674e-005	1.877567e-002
3.262708265206263e-005	3.500504e-002
3.262750768623368e-005	5.186065e-002
3.262798029764549e-005	7.005354e-002
3.262862873506037e-005	9.212441e-002
3.262923689927380e-005	1.068920e-001
3.262975423207887e-005	1.101770e-001
3.263035166455042e-005	9.978035e-002
3.263090385063200e-005	7.799491e-002
3.263119309966645e-005	6.205411e-002
3.263139657729702e-005	4.941067e-002
3.263165732638948e-005	3.326739e-002
3.263190764813892e-005	1.892580e-002
3.263215705084227e-005	6.737377e-003
3.263242025526580e-005	-3.168345e-003
3.263268240697934e-005	-9.474075e-003
3.263300416609868e-005	-1.274826e-002
3.263326899512892e-005	-1.210937e-002
3.263351030178413e-005	-8.949795e-003
3.263375067765612e-005	-3.874445e-003
3.263401067886418e-005	3.195234e-003
3.263426994662075e-005	1.144189e-002
3.263459152182471e-005	2.276039e-002
3.263504328073971e-005	3.955472e-002
3.263545173605095e-005	5.498599e-002
3.263583285102734e-005	6.885966e-002
3.263643436039049e-005	8.788801e-002
3.263707735856603e-005	1.014224e-001
3.263768725592087e-005	1.033105e-001
3.263823634932356e-005	9.205264e-002
3.263886324773174e-005	6.662717e-002
3.263909469428117e-005	5.441696e-002
3.263931283822158e-005	4.181461e-002
3.263951498954157e-005	3.058998e-002
3.263983882019830e-005	1.449843e-002
3.264010990428751e-005	3.638587e-003
3.264040444113034e-005	-4.554959e-003
3.264067064702794e-005	-8.154544e-003
3.264109842921956e-005	-8.090664e-003
3.264137565821279e-005	-4.883469e-003
3.264162979612836e-005	4.096445e-004
3.264187839949542e-005	7.032202e-003
3.264214885036892e-005	1.540968e-002
3.264253616293636e-005	2.858711e-002
3.264298041269487e-005	4.441326e-002
3.264345065957103e-005	6.112014e-002
3.264393088018777e-005	7.683686e-002
3.264451038120439e-005	9.187194e-002
3.264507165338590e-005	9.913995e-002
3.264567517633973e-005	9.550795e-002
3.264622336480311e-005	8.100417e-002
3.264665131194264e-005	6.286699e-002
3.264686133276282e-005	5.215745e-002
3.264707890516388e-005	4.052334e-002
3.264728743342799e-005	2.988145e-002
3.264762120278736e-005	1.478058e-002
3.264790430017664e-005	4.529526e-003
3.264817515526153e-005	-2.195445e-003
3.264844336606232e-005	-5.459916e-003
3.264882091585236e-005	-5.525123e-003
3.264909437978442e-005	-2.732945e-003
3.264935023116963e-005	2.057569e-003
3.264960252053611e-005	8.253290e-003
3.264988662637566e-005	1.650710e-002
3.265029059774591e-005	2.952505e-002
3.265070962742145e-005	4.373497e-002
3.265117261811584e-005	5.942902e-002
3.265162489407211e-005	7.355305e-002
3.265219395152258e-005	8.746386e-002
3.265281195649963e-005	9.495943e-002
3.265338261931525e-005	9.144814e-002
3.265396993873751e-005	7.650023e-002
3.265438556106226e-005	5.993808e-002
3.265459872678692e-005	4.978023e-002
3.265482632639274e-005	3.853510e-002
3.265505298832849e-005	2.797940e-002
3.265539905437584e-005	1.397679e-002
3.265569247353287e-005	4.777573e-003
3.265597055554514e-005	-8.548927e-004
3.265624529468630e-005	-3.379904e-003
3.265652483613185e-005	-3.108191e-003
3.265677959833277e-005	-6.161183e-004
3.265703717214574e-005	3.760881e-003
3.265729107825369e-005	9.540053e-003
3.265761470068462e-005	1.840407e-002
3.265802597907097e-005	3.099345e-002
3.265840802249218e-005	4.334519e-002
3.265886184682446e-005	5.801338e-002
3.265929336482287e-005	7.085059e-002
3.265985240978597e-005	8.392642e-002
3.266045621748773e-005	9.110373e-002
3.266103394187689e-005	8.815920e-002
3.266162190467339e-005	7.458616e-002
3.266204477074541e-005	5.908541e-002
3.266225765480649e-005	4.969656e-002
3.266248172040243e-005	3.938919e-002
3.266270001830648e-005	2.984968e-002
3.266304343018181e-005	1.671908e-002
3.266336135596126e-005	7.213160e-003
3.266364138847580e-005	1.744539e-003
3.266391676090899e-005	-7.493255e-004
3.266419279275915e-005	-6.194020e-004
3.266444838732896e-005	1.618826e-003
3.266469880895337e-005	5.537945e-003
3.266496172386196e-005	1.115893e-002
3.266532175576903e-005	2.052786e-002
3.266574972158459e-005	3.303680e-002
3.266610509049250e-005	4.401082e-002
3.266653710053830e-005	5.729407e-002
3.266696890906473e-005	6.941695e-002
3.266752692726929e-005	8.156759e-002
3.266811932286021e-005	8.783709e-002
3.266870111553327e-005	8.458112e-002
3.266929766471485e-005	7.132249e-002
3.266969423533495e-005	5.759934e-002
3.266990522295468e-005	4.888623e-002
3.267013096649313e-005	3.921119e-002
3.267035137346011e-005	3.024378e-002
3.267069848406426e-005	1.803289e-002
3.267107062366118e-005	8.034519e-003
3.267136078378974e-005	3.293780e-003
3.267167009368341e-005	1.521826e-003
3.267196199901318e-005	2.560035e-003
3.267224427233942e-005	5.845149e-003
3.267253793336547e-005	1.122460e-002
3.267290134456591e-005	1.981521e-002
3.267333416715618e-005	3.163994e-002
3.267370275381737e-005	4.243075e-002
3.267414103333421e-005	5.532814e-002
3.267453888168570e-005	6.612173e-002
3.267508285926743e-005	7.786366e-002
3.267566169637762e-005	8.454313e-002
3.267625236987037e-005	8.265181e-002
3.267683936976351e-005	7.151324e-002
3.267727902989126e-005	5.781692e-002
3.267749106041981e-005	4.975855e-002
3.267768527238577e-005	4.194704e-002
3.267787165941657e-005	3.465917e-002
3.267819407136441e-005	2.326567e-002
3.267853995096368e-005	1.333896e-002
3.267886167952760e-005	7.151842e-003
3.267921383617867e-005	4.137454e-003
3.267956870875444e-005	4.703075e-003
3.267988794978735e-005	8.124695e-003
3.268026194654106e-005	1.487782e-002
3.268065072511636e-005	2.396664e-002
3.268108778301318e-005	3.566379e-002
3.268140537439346e-005	4.462187e-002
3.268180021996983e-005	5.564345e-002
3.268222912803515e-005	6.639711e-002
3.268282258550581e-005	7.765985e-002
3.268338051512498e-005	8.225819e-002
3.268398956655233e-005	7.824665e-002
3.268459163359092e-005	6.571368e-002
3.268493560596580e-005	5.498399e-002
3.268514356511570e-005	4.738975e-002
3.268537484754641e-005	3.871926e-002
3.268560329855799e-005	3.062219e-002
3.268595939920696e-005	1.978639e-002
3.268634092001496e-005	1.127923e-002
3.268672372861575e-005	6.706186e-003
3.268708202303072e-005	6.194576e-003
3.268742249506323e-005	8.946724e-003
3.268781481658226e-005	1.515868e-002
3.268822828581333e-005	2.408477e-002
3.268866829442621e-005	3.519566e-002
3.268898794577674e-005	4.378433e-002
3.268938504285071e-005	5.439155e-002
3.268979408464420e-005	6.424547e-002
3.269038137986707e-005	7.509282e-002
3.269092923672071e-005	7.974371e-002
3.269154569863000e-005	7.644478e-002
3.269214375403728e-005	6.519680e-002
3.269250069521529e-005	5.491515e-002
3.269270723730774e-005	4.788131e-002
3.269293057434064e-005	3.999830e-002
3.269314146807367e-005	3.287170e-002
3.269349038218308e-005	2.250490e-002
3.269385718123602e-005	1.416371e-002
3.269423090080867e-005	9.221738e-003
3.269462285873659e-005	8.173515e-003
3.269505902124548e-005	1.136653e-002
3.269550040966782e-005	1.826542e-002
3.269596700762253e-005	2.828315e-002
3.269636370675441e-005	3.807827e-002
3.269665960182328e-005	4.574435e-002
3.269698385343148e-005	5.396093e-002
3.269744098672797e-005	6.433446e-002
3.269797885771184e-005	7.343683e-002
3.269856418509909e-005	7.765734e-002
3.269914441478977e-005	7.408895e-002
3.269979532583359e-005	6.180310e-002
3.270013158605464e-005	5.244241e-002
3.270034560286586e-005	4.549580e-002
3.270059235270517e-005	3.736531e-002
3.270084175637303e-005	2.971395e-002
3.270121487547809e-005	2.016736e-002
3.270161814580494e-005	1.307635e-002
3.270203689514223e-005	9.979958e-003
3.270247614819630e-005	1.122494e-002
3.270288692974743e-005	1.613830e-002
3.270342090593015e-005	2.618600e-002
3.270390479798158e-005	3.721561e-002
3.270418241398468e-005	4.403688e-002
3.270454708861892e-005	5.292973e-002
3.270494878318195e-005	6.174813e-002
3.270551398592073e-005	7.125176e-002
3.270605952604769e-005	7.552151e-002
3.270667345450437e-005	7.270604e-002
