time	V(n003)	V(n008)
2.041425018400184e-006	1.015698e+000	-6.434876e-001
2.042693708886184e-006	1.013311e+000	-6.420157e-001
2.043687921164661e-006	1.011500e+000	-6.408560e-001
2.044779852675149e-006	1.009573e+000	-6.395786e-001
2.045969196614456e-006	1.007528e+000	-6.381875e-001
2.046825597817881e-006	1.006095e+000	-6.371862e-001
2.047874883441547e-006	1.004391e+000	-6.359570e-001
2.049651072040526e-006	1.001632e+000	-6.338626e-001
2.050533464137416e-006	1.000329e+000	-6.328143e-001
2.051506727242941e-006	9.989318e-001	-6.316561e-001
2.052265125146446e-006	9.978704e-001	-6.307536e-001
2.052943075592228e-006	9.969451e-001	-6.299474e-001
2.053769019298019e-006	9.958472e-001	-6.289645e-001
2.054652276671509e-006	9.947078e-001	-6.279106e-001
2.056117909647603e-006	9.929107e-001	-6.261502e-001
2.056969213903859e-006	9.919227e-001	-6.251208e-001
2.057871259907723e-006	9.909115e-001	-6.240278e-001
2.059305019348756e-006	9.893753e-001	-6.222899e-001
2.060007528090907e-006	9.886581e-001	-6.214381e-001
2.060808281936083e-006	9.878721e-001	-6.204649e-001
2.061886783782940e-006	9.868611e-001	-6.191484e-001
2.062648826035157e-006	9.861822e-001	-6.182132e-001
2.063402164818873e-006	9.855453e-001	-6.172843e-001
2.064234730522752e-006	9.848746e-001	-6.162550e-001
2.065132819528692e-006	9.841822e-001	-6.151438e-001
2.065735201207952e-006	9.837366e-001	-6.143984e-001
2.066322081162308e-006	9.833204e-001	-6.136718e-001
2.067034967755815e-006	9.828373e-001	-6.127878e-001
2.067814107210159e-006	9.823353e-001	-6.118189e-001
2.068887583275142e-006	9.817001e-001	-6.104754e-001
2.069561593161240e-006	9.813353e-001	-6.096269e-001
2.070273421424240e-006	9.809755e-001	-6.087281e-001
2.071199227245135e-006	9.805374e-001	-6.075571e-001
2.072099104917513e-006	9.801481e-001	-6.064180e-001
2.072604050461224e-006	9.799465e-001	-6.057785e-001
2.073175535816790e-006	9.797323e-001	-6.050537e-001
2.073737060480363e-006	9.795370e-001	-6.043401e-001
2.074284668796694e-006	9.793620e-001	-6.036420e-001
2.074751224542121e-006	9.792262e-001	-6.030451e-001
2.075249797370976e-006	9.790956e-001	-6.024048e-001
2.075815006052917e-006	9.789637e-001	-6.016764e-001
2.076389025686826e-006	9.788471e-001	-6.009344e-001
2.077087014752677e-006	9.787243e-001	-6.000302e-001
2.077483783564926e-006	9.786636e-001	-5.995157e-001
2.077853705376859e-006	9.786143e-001	-5.990357e-001
2.078175484972883e-006	9.785759e-001	-5.986181e-001
2.078440763535888e-006	9.785476e-001	-5.982738e-001
2.078661803728982e-006	9.785264e-001	-5.979868e-001
2.078881598227556e-006	9.785080e-001	-5.977013e-001
2.079232359366440e-006	9.784835e-001	-5.972452e-001
2.079661286496365e-006	9.784623e-001	-5.966865e-001
2.080325191566174e-006	9.784449e-001	-5.958198e-001
2.080664118497833e-006	9.784435e-001	-5.953761e-001
2.080898605021780e-006	9.784473e-001	-5.950683e-001
2.081104088388214e-006	9.784533e-001	-5.947981e-001
2.081268242453555e-006	9.784599e-001	-5.945820e-001
