time	I(R7)
8.855620760534269e-005	4.790137e-002
8.855643800585039e-005	4.790972e-002
8.855663035809216e-005	4.791669e-002
8.855683255920913e-005	4.792401e-002
8.855714692720257e-005	4.793540e-002
8.855750439430016e-005	4.794835e-002
8.855795854873644e-005	4.796480e-002
8.855845698331824e-005	4.798285e-002
8.855918499268978e-005	4.800922e-002
8.855950046553207e-005	4.802065e-002
8.855970439370503e-005	4.802803e-002
8.855995234934022e-005	4.803701e-002
8.856020251064162e-005	4.804607e-002
8.856057882463200e-005	4.805971e-002
8.856097043586503e-005	4.807389e-002
8.856148281091367e-005	4.809245e-002
8.856205533533737e-005	4.811319e-002
8.856234266411273e-005	4.812359e-002
8.856263248990109e-005	4.813409e-002
8.856285750621917e-005	4.814224e-002
8.856308188159856e-005	4.815037e-002
8.856329510198088e-005	4.815809e-002
8.856364215246645e-005	4.817066e-002
8.856400624973962e-005	4.818385e-002
8.856449103916003e-005	4.820141e-002
8.856500695678463e-005	4.822010e-002
8.856540945928124e-005	4.823468e-002
8.856568422491856e-005	4.824463e-002
8.856591557017401e-005	4.825301e-002
8.856610595865330e-005	4.825990e-002
8.856637463488387e-005	4.826964e-002
8.856663850329016e-005	4.827919e-002
8.856703343888481e-005	4.829350e-002
8.856743384484667e-005	4.830800e-002
8.856796709109591e-005	4.832732e-002
8.856857822418796e-005	4.834945e-002
8.856884730773507e-005	4.835920e-002
8.856910470425930e-005	4.836852e-002
8.856929908890657e-005	4.837556e-002
8.856954590231309e-005	4.838450e-002
8.856979482788421e-005	4.839352e-002
8.857017086843014e-005	4.840714e-002
8.857056116765016e-005	4.842127e-002
8.857107439884729e-005	4.843986e-002
8.857165060540198e-005	4.846073e-002
8.857192425178184e-005	4.847065e-002
8.857220813244734e-005	4.848093e-002
8.857242340186422e-005	4.848872e-002
8.857265860684471e-005	4.849724e-002
8.857289122950196e-005	4.850567e-002
8.857325117237608e-005	4.851871e-002
8.857362929555815e-005	4.853240e-002
8.857412460050104e-005	4.855034e-002
8.857466312401849e-005	4.856985e-002
8.857500386375353e-005	4.858219e-002
8.857530000741520e-005	4.859291e-002
8.857553793715361e-005	4.860153e-002
8.857573574977407e-005	4.860870e-002
8.857598013758961e-005	4.861755e-002
8.857626149004483e-005	4.862774e-002
8.857664147935221e-005	4.864150e-002
8.857706066740800e-005	4.865668e-002
8.857758206141236e-005	4.867557e-002
8.857824494154856e-005	4.869958e-002
8.857854327051773e-005	4.871038e-002
8.857874068509547e-005	4.871753e-002
8.857894878918499e-005	4.872507e-002
8.857914978429443e-005	4.873235e-002
8.857947435527216e-005	4.874411e-002
8.857982651006360e-005	4.875686e-002
8.858028865303333e-005	4.877360e-002
8.858078023497168e-005	4.879140e-002
8.858150271530765e-005	4.881757e-002
8.858181931888087e-005	4.882904e-002
8.858200970516053e-005	4.883593e-002
8.858222669873642e-005	4.884379e-002
8.858242716454703e-005	4.885105e-002
8.858277657029443e-005	4.886371e-002
8.858313062492379e-005	4.887654e-002
8.858361750229207e-005	4.889417e-002
8.858411900762586e-005	4.891233e-002
8.858456865844938e-005	4.892862e-002
8.858482916598506e-005	4.893805e-002
8.858507025155324e-005	4.894678e-002
8.858526075425019e-005	4.895368e-002
8.858553313010470e-005	4.896355e-002
8.858579584618276e-005	4.897306e-002
8.858619355270325e-005	4.898747e-002
8.858659273344380e-005	4.900192e-002
8.858712887182402e-005	4.902134e-002
8.858774001642422e-005	4.904348e-002
8.858801081734757e-005	4.905329e-002
8.858826602486936e-005	4.906253e-002
8.858845925230341e-005	4.906953e-002
8.858870622385426e-005	4.907847e-002
8.858895532196792e-005	4.908749e-002
8.858933177240819e-005	4.910113e-002
8.858972218183867e-005	4.911527e-002
8.859023592715232e-005	4.913388e-002
8.859081313446551e-005	4.915478e-002
8.859108493848231e-005	4.916463e-002
8.859136814349036e-005	4.917488e-002
8.859158226843036e-005	4.918264e-002
8.859181869831298e-005	4.919120e-002
8.859205324912578e-005	4.919970e-002
8.859241465293544e-005	4.921278e-002
8.859279418335989e-005	4.922653e-002
8.859329081280579e-005	4.924452e-002
8.859383201366769e-005	4.926412e-002
8.859416859259214e-005	4.927631e-002
8.859446481645703e-005	4.928704e-002
8.859470247734799e-005	4.929565e-002
8.859490181792676e-005	4.930286e-002
8.859514129020904e-005	4.931154e-002
8.859542679401020e-005	4.932188e-002
8.859580376787551e-005	4.933553e-002
8.859622729342348e-005	4.935087e-002
8.859674598046818e-005	4.936966e-002
8.859741890503842e-005	4.939403e-002
8.859772061901514e-005	4.940495e-002
8.859791370051731e-005	4.941195e-002
8.859810226845288e-005	4.941878e-002
8.859829869782565e-005	4.942589e-002
8.859861846492387e-005	4.943747e-002
8.859897107311651e-005	4.945024e-002
8.859942915593472e-005	4.946683e-002
8.859991957542446e-005	4.948460e-002
8.860062368745703e-005	4.951010e-002
8.860093294403224e-005	4.952130e-002
8.860113214171489e-005	4.952851e-002
8.860133793135369e-005	4.953596e-002
8.860154263809136e-005	4.954338e-002
8.860186081503449e-005	4.955490e-002
8.860221531097404e-005	4.956774e-002
8.860267201471483e-005	4.958428e-002
8.860316820789166e-005	4.960225e-002
8.860381182530797e-005	4.962556e-002
8.860410891871687e-005	4.963632e-002
8.860430508064732e-005	4.964342e-002
8.860449480422791e-005	4.965029e-002
8.860469657662184e-005	4.965760e-002
8.860501187444442e-005	4.966902e-002
8.860536752793718e-005	4.968190e-002
8.860582084390875e-005	4.969832e-002
8.860631441827763e-005	4.971619e-002
8.860701048571743e-005	4.974140e-002
8.860731704432232e-005	4.975251e-002
8.860751857965588e-005	4.975981e-002
8.860772091524513e-005	4.976713e-002
8.860793741903919e-005	4.977497e-002
8.860824274378384e-005	4.978603e-002
8.860860435868506e-005	4.979913e-002
8.860904778688547e-005	4.981519e-002
8.860955085763719e-005	4.983341e-002
8.861025797114730e-005	4.985901e-002
8.861056835635095e-005	4.987026e-002
8.861076570386081e-005	4.987740e-002
8.861099853373772e-005	4.988584e-002
8.861122850013434e-005	4.989416e-002
8.861159187685541e-005	4.990732e-002
8.861196784226005e-005	4.992094e-002
8.861246579224685e-005	4.993897e-002
8.861300103274461e-005	4.995836e-002
8.861334610005267e-005	4.997085e-002
8.861364193484336e-005	4.998157e-002
8.861388055602174e-005	4.999021e-002
8.861407618938888e-005	4.999729e-002
8.861432680428924e-005	5.000637e-002
8.861460274705441e-005	5.001636e-002
8.861498663136069e-005	5.003027e-002
8.861540037439358e-005	5.004525e-002
8.861592579444827e-005	5.006428e-002
8.861658068100992e-005	5.008800e-002
8.861687626987927e-005	5.009870e-002
8.861707652112194e-005	5.010595e-002
8.861728406245675e-005	5.011347e-002
8.861748863847954e-005	5.012088e-002
8.861780945535608e-005	5.013249e-002
8.861816384082150e-005	5.014533e-002
8.861862200973403e-005	5.016192e-002
8.861911550810467e-005	5.017979e-002
8.861982719256256e-005	5.020557e-002
8.862014063418244e-005	5.021692e-002
8.862033648080955e-005	5.022401e-002
8.862052385768746e-005	5.023080e-002
8.862072394701104e-005	5.023804e-002
8.862103802659976e-005	5.024942e-002
8.862139297874730e-005	5.026227e-002
8.862184634736425e-005	5.027869e-002
8.862234171702274e-005	5.029663e-002
8.862306371183043e-005	5.032278e-002
8.862337690811184e-005	5.033412e-002
8.862357930933609e-005	5.034145e-002
8.862382302508853e-005	5.035027e-002
8.862406817804203e-005	5.035915e-002
8.862444078918882e-005	5.037265e-002
8.862482839832458e-005	5.038669e-002
8.862533611409332e-005	5.040507e-002
8.862589662961967e-005	5.042537e-002
8.862620198776469e-005	5.043643e-002
8.862649545847770e-005	5.044705e-002
8.862672714245526e-005	5.045545e-002
8.862694109932484e-005	5.046320e-002
8.862713498207497e-005	5.047021e-002
8.862746736675031e-005	5.048225e-002
8.862781688870336e-005	5.049491e-002
8.862828947521148e-005	5.051202e-002
8.862878234728450e-005	5.052987e-002
8.862933980660279e-005	5.055006e-002
8.862961824617627e-005	5.056014e-002
8.862983607898708e-005	5.056803e-002
8.863003703241806e-005	5.057531e-002
8.863026936944615e-005	5.058372e-002
8.863056280153728e-005	5.059435e-002
8.863093462073077e-005	5.060782e-002
8.863136482123793e-005	5.062339e-002
8.863187531124583e-005	5.064188e-002
8.863253417514677e-005	5.066574e-002
8.863282660005398e-005	5.067633e-002
8.863305191560145e-005	5.068449e-002
8.863324322269314e-005	5.069142e-002
8.863350324496422e-005	5.070084e-002
8.863377070068498e-005	5.071052e-002
8.863415990289364e-005	5.072461e-002
8.863456485392121e-005	5.073928e-002
8.863509509532061e-005	5.075848e-002
8.863573149458723e-005	5.078153e-002
8.863601920478317e-005	5.079195e-002
8.863623288820829e-005	5.079968e-002
8.863643544678931e-005	5.080702e-002
8.863666174036694e-005	5.081521e-002
8.863696054343256e-005	5.082604e-002
8.863732845243444e-005	5.083936e-002
8.863776409143848e-005	5.085513e-002
8.863827065699187e-005	5.087348e-002
8.863893818229426e-005	5.089765e-002
8.863923423421682e-005	5.090837e-002
8.863945428254361e-005	5.091634e-002
8.863964773265023e-005	5.092334e-002
8.863989889886653e-005	5.093244e-002
8.864017292526880e-005	5.094237e-002
8.864055640899621e-005	5.095625e-002
8.864096804904117e-005	5.097116e-002
8.864149275792169e-005	5.099016e-002
